round,train_acc,eval_acc_clean
1,0.09200000017881393,0.14399999380111694
2,0.13600000739097595,0.15199999511241913
3,0.12800000607967377,0.18799999356269836
4,0.13600000739097595,0.1679999977350235
5,0.15600000321865082,0.20800000429153442
6,0.12399999797344208,0.14800000190734863
7,0.13199999928474426,0.1720000058412552
8,0.13199999928474426,0.25999999046325684
9,0.1599999964237213,0.25200000405311584
10,0.12800000607967377,0.18400000035762787
11,0.2160000056028366,0.23199999332427979
12,0.1720000058412552,0.2639999985694885
13,0.1720000058412552,0.24799999594688416
14,0.15600000321865082,0.24400000274181366
15,0.1720000058412552,0.24400000274181366
16,0.15199999511241913,0.23199999332427979
17,0.18400000035762787,0.2879999876022339
18,0.1599999964237213,0.2680000066757202
19,0.19599999487400055,0.2199999988079071
20,0.19599999487400055,0.23999999463558197
21,0.14399999380111694,0.2199999988079071
22,0.1599999964237213,0.25600001215934753
23,0.19200000166893005,0.23999999463558197
24,0.20399999618530273,0.2759999930858612
25,0.18799999356269836,0.29600000381469727
26,0.20800000429153442,0.25600001215934753
27,0.20000000298023224,0.23600000143051147
28,0.18400000035762787,0.2800000011920929
29,0.21199999749660492,0.2639999985694885
30,0.25200000405311584,0.2919999957084656
31,0.23199999332427979,0.23999999463558197
32,0.2199999988079071,0.2879999876022339
33,0.2199999988079071,0.2879999876022339
34,0.20800000429153442,0.2720000147819519
35,0.20800000429153442,0.2919999957084656
36,0.23600000143051147,0.2759999930858612
37,0.25999999046325684,0.25600001215934753
38,0.2240000069141388,0.2800000011920929
39,0.20800000429153442,0.25600001215934753
40,0.23600000143051147,0.2639999985694885
41,0.24799999594688416,0.2800000011920929
42,0.25200000405311584,0.2720000147819519
43,0.2199999988079071,0.2720000147819519
44,0.2199999988079071,0.2840000092983246
45,0.2639999985694885,0.2840000092983246
46,0.23199999332427979,0.2879999876022339
47,0.20399999618530273,0.2800000011920929
48,0.2680000066757202,0.2680000066757202
49,0.24400000274181366,0.30399999022483826
50,0.30000001192092896,0.30000001192092896
51,0.23999999463558197,0.2720000147819519
52,0.2759999930858612,0.3199999928474426
53,0.23199999332427979,0.31200000643730164
54,0.2759999930858612,0.2840000092983246
55,0.2840000092983246,0.30000001192092896
56,0.25999999046325684,0.30799999833106995
57,0.2680000066757202,0.328000009059906
58,0.2680000066757202,0.2840000092983246
59,0.24799999594688416,0.29600000381469727
60,0.2800000011920929,0.29600000381469727
61,0.2240000069141388,0.3160000145435333
62,0.23600000143051147,0.29600000381469727
63,0.25200000405311584,0.30799999833106995
64,0.25999999046325684,0.35199999809265137
