round,train_acc_poison,eval_acc_poison,eval_acc_clean
1,0.1321321278810501,0.21021020412445068,0.07207207381725311
2,0.17417417466640472,0.24924924969673157,0.07807807624340057
3,0.21921922266483307,0.2642642557621002,0.07507507503032684
4,0.1621621549129486,0.21921922266483307,0.12012012302875519
5,0.2132132202386856,0.27627629041671753,0.1411411464214325
6,0.18918919563293457,0.2732732594013214,0.09909909963607788
7,0.2612612545490265,0.36936935782432556,0.11411411315202713
8,0.24024024605751038,0.30930930376052856,0.09909909963607788
9,0.23723722994327545,0.32732734084129333,0.08708708733320236
10,0.2642642557621002,0.3123123049736023,0.08708708733320236
11,0.2642642557621002,0.3363363444805145,0.10210210084915161
12,0.25525525212287903,0.315315306186676,0.10210210084915161
13,0.25525525212287903,0.3123123049736023,0.08408408612012863
14,0.282282292842865,0.2942942976951599,0.08408408612012863
15,0.3003003001213074,0.402402400970459,0.09009008854627609
16,0.26726725697517395,0.33933934569358826,0.10210210084915161
17,0.31831830739974976,0.3033033013343811,0.06606606394052505
18,0.30630630254745483,0.3843843936920166,0.08408408612012863
19,0.33933934569358826,0.40840840339660645,0.0810810774564743
20,0.30630630254745483,0.39939939975738525,0.07207207381725311
21,0.3003003001213074,0.3753753900527954,0.07807807624340057
22,0.33033034205436707,0.37837839126586914,0.08408408612012863
23,0.3243243098258972,0.39939939975738525,0.08408408612012863
24,0.34834834933280945,0.4234234094619751,0.0810810774564743
25,0.3513513505458832,0.43843844532966614,0.0810810774564743
26,0.3513513505458832,0.42942944169044495,0.10210210084915161
27,0.33933934569358826,0.4264264404773712,0.09009008854627609
28,0.34834834933280945,0.3963963985443115,0.10510510206222534
29,0.39039039611816406,0.4264264404773712,0.09909909963607788
30,0.34834834933280945,0.41741740703582764,0.09309308975934982
31,0.36036035418510437,0.3843843936920166,0.0810810774564743
32,0.35735735297203064,0.39039039611816406,0.09609609842300415
33,0.35735735297203064,0.44144144654273987,0.09009008854627609
34,0.402402400970459,0.42942944169044495,0.08408408612012863
35,0.3963963985443115,0.4534534513950348,0.09009008854627609
36,0.3363363444805145,0.4354354441165924,0.08708708733320236
37,0.33933934569358826,0.4654654562473297,0.07207207381725311
38,0.4324324429035187,0.4744744598865509,0.08408408612012863
39,0.37837839126586914,0.4924924969673157,0.07507507503032684
40,0.3843843936920166,0.3933933973312378,0.06906907260417938
41,0.42042040824890137,0.42942944169044495,0.06906907260417938
42,0.4354354441165924,0.477477490901947,0.09609609842300415
43,0.4234234094619751,0.4954954981803894,0.07507507503032684
44,0.4114114046096802,0.44744744896888733,0.07807807624340057
45,0.4114114046096802,0.48048049211502075,0.09309308975934982
46,0.36036035418510437,0.462462455034256,0.08708708733320236
47,0.41741740703582764,0.46846845746040344,0.0810810774564743
48,0.4114114046096802,0.4834834933280945,0.09909909963607788
49,0.4324324429035187,0.462462455034256,0.0810810774564743
50,0.4354354441165924,0.4924924969673157,0.07507507503032684
51,0.45045045018196106,0.5315315127372742,0.06606606394052505
52,0.44744744896888733,0.522522509098053,0.06906907260417938
53,0.4534534513950348,0.522522509098053,0.07807807624340057
54,0.45945945382118225,0.49849849939346313,0.08708708733320236
55,0.4354354441165924,0.4924924969673157,0.0810810774564743
56,0.44744744896888733,0.4714714586734772,0.06306306272745132
57,0.43843844532966614,0.5045045018196106,0.09909909963607788
58,0.4534534513950348,0.5315315127372742,0.06306306272745132
59,0.49849849939346313,0.5465465188026428,0.07507507503032684
60,0.4564564526081085,0.5255255103111267,0.08708708733320236
61,0.44744744896888733,0.5435435175895691,0.06306306272745132
62,0.5165165066719055,0.5105105042457581,0.07507507503032684
63,0.44744744896888733,0.5315315127372742,0.06606606394052505
64,0.48048049211502075,0.5615615844726562,0.06606606394052505
65,0.48948949575424194,0.5165165066719055,0.06906907260417938
66,0.44744744896888733,0.5435435175895691,0.06906907260417938
67,0.42942944169044495,0.522522509098053,0.06606606394052505
68,0.5105105042457581,0.5585585832595825,0.07507507503032684
69,0.4444444477558136,0.5435435175895691,0.06906907260417938
70,0.5045045018196106,0.5495495200157166,0.07807807624340057
71,0.4924924969673157,0.5465465188026428,0.07807807624340057
72,0.4864864945411682,0.5405405163764954,0.054054055362939835
73,0.5165165066719055,0.5435435175895691,0.07807807624340057
74,0.5315315127372742,0.56456458568573,0.06906907260417938
75,0.49849849939346313,0.5765765905380249,0.06306306272745132
76,0.5195195078849792,0.5705705881118774,0.06606606394052505
77,0.5165165066719055,0.5705705881118774,0.07807807624340057
78,0.5045045018196106,0.5855855941772461,0.06906907260417938
79,0.5135135054588318,0.6006006002426147,0.06606606394052505
80,0.4954954981803894,0.5795795917510986,0.057057056576013565
81,0.5075075030326843,0.5795795917510986,0.06306306272745132
82,0.5405405163764954,0.5945945978164673,0.06906907260417938
83,0.5435435175895691,0.5765765905380249,0.051051050424575806
84,0.5735735893249512,0.6366366147994995,0.060060061514377594
85,0.5495495200157166,0.5825825929641724,0.06606606394052505
86,0.5255255103111267,0.6066066026687622,0.057057056576013565
87,0.5735735893249512,0.6006006002426147,0.06306306272745132
88,0.5705705881118774,0.6156156063079834,0.06306306272745132
89,0.5285285115242004,0.6156156063079834,0.07807807624340057
90,0.5435435175895691,0.6216216087341309,0.06306306272745132
91,0.5255255103111267,0.6276276111602783,0.06306306272745132
92,0.597597599029541,0.5945945978164673,0.07807807624340057
93,0.5615615844726562,0.6276276111602783,0.051051050424575806
94,0.5525525808334351,0.6156156063079834,0.06906907260417938
95,0.5585585832595825,0.6216216087341309,0.06306306272745132
96,0.5675675868988037,0.6456456184387207,0.07207207381725311
97,0.5555555820465088,0.6456456184387207,0.06906907260417938
98,0.5135135054588318,0.6576576828956604,0.06606606394052505
99,0.5675675868988037,0.6576576828956604,0.06606606394052505
100,0.5825825929641724,0.6546546816825867,0.06306306272745132
101,0.5705705881118774,0.6366366147994995,0.060060061514377594
102,0.5885885953903198,0.684684693813324,0.07507507503032684
103,0.5885885953903198,0.6876876950263977,0.06306306272745132
104,0.5795795917510986,0.6636636853218079,0.057057056576013565
105,0.5945945978164673,0.6246246099472046,0.060060061514377594
106,0.5705705881118774,0.6786786913871765,0.06906907260417938
107,0.5495495200157166,0.684684693813324,0.057057056576013565
108,0.6126126050949097,0.6606606841087341,0.06606606394052505
109,0.5885885953903198,0.6786786913871765,0.054054055362939835
110,0.597597599029541,0.684684693813324,0.06906907260417938
111,0.5945945978164673,0.6696696877479553,0.057057056576013565
112,0.597597599029541,0.6996996998786926,0.051051050424575806
113,0.6036036014556885,0.6876876950263977,0.048048049211502075
