round,train_acc,eval_acc_clean
1,0.08799999952316284,0.13199999928474426
2,0.07999999821186066,0.19599999487400055
3,0.10400000214576721,0.2160000056028366
4,0.14399999380111694,0.17599999904632568
5,0.10000000149011612,0.18400000035762787
6,0.07999999821186066,0.17599999904632568
7,0.14000000059604645,0.13199999928474426
8,0.12800000607967377,0.18400000035762787
9,0.12800000607967377,0.1599999964237213
10,0.1720000058412552,0.20000000298023224
11,0.18000000715255737,0.25600001215934753
12,0.18400000035762787,0.20000000298023224
13,0.15600000321865082,0.21199999749660492
14,0.1720000058412552,0.18000000715255737
15,0.164000004529953,0.2840000092983246
16,0.1679999977350235,0.24799999594688416
17,0.20800000429153442,0.25999999046325684
18,0.18799999356269836,0.24799999594688416
19,0.19599999487400055,0.2759999930858612
20,0.20399999618530273,0.25200000405311584
21,0.15600000321865082,0.20399999618530273
22,0.20399999618530273,0.24400000274181366
23,0.21199999749660492,0.3160000145435333
24,0.20399999618530273,0.20399999618530273
25,0.20399999618530273,0.2639999985694885
26,0.2280000001192093,0.3240000009536743
27,0.2199999988079071,0.2240000069141388
28,0.24799999594688416,0.2160000056028366
29,0.25200000405311584,0.2759999930858612
30,0.21199999749660492,0.23999999463558197
31,0.23199999332427979,0.31200000643730164
32,0.2280000001192093,0.30000001192092896
33,0.23999999463558197,0.30000001192092896
34,0.24400000274181366,0.23600000143051147
35,0.2759999930858612,0.2919999957084656
36,0.2720000147819519,0.31200000643730164
37,0.24400000274181366,0.3199999928474426
38,0.2840000092983246,0.2919999957084656
39,0.2680000066757202,0.2759999930858612
40,0.29600000381469727,0.35600000619888306
41,0.328000009059906,0.35199999809265137
42,0.2759999930858612,0.30399999022483826
43,0.2759999930858612,0.3479999899864197
44,0.2759999930858612,0.30000001192092896
45,0.25200000405311584,0.2759999930858612
46,0.2680000066757202,0.3240000009536743
47,0.2720000147819519,0.35600000619888306
48,0.2280000001192093,0.3240000009536743
49,0.3479999899864197,0.37599998712539673
50,0.30799999833106995,0.36000001430511475
51,0.30399999022483826,0.36399999260902405
52,0.29600000381469727,0.3319999873638153
53,0.2759999930858612,0.3440000116825104
54,0.2919999957084656,0.36000001430511475
55,0.2720000147819519,0.35600000619888306
56,0.29600000381469727,0.37599998712539673
57,0.335999995470047,0.36800000071525574
58,0.335999995470047,0.36000001430511475
59,0.29600000381469727,0.37599998712539673
60,0.35600000619888306,0.37599998712539673
61,0.31200000643730164,0.3720000088214874
62,0.3160000145435333,0.36000001430511475
63,0.3199999928474426,0.36399999260902405
64,0.3440000116825104,0.3880000114440918
65,0.3400000035762787,0.3840000033378601
66,0.3240000009536743,0.3919999897480011
67,0.3319999873638153,0.37599998712539673
68,0.35199999809265137,0.36800000071525574
69,0.36000001430511475,0.37599998712539673
70,0.328000009059906,0.37599998712539673
71,0.30799999833106995,0.3799999952316284
72,0.31200000643730164,0.36000001430511475
73,0.36399999260902405,0.36399999260902405
74,0.2800000011920929,0.3959999978542328
75,0.36399999260902405,0.3880000114440918
76,0.3400000035762787,0.3919999897480011
77,0.36000001430511475,0.40400001406669617
78,0.36000001430511475,0.37599998712539673
79,0.36399999260902405,0.4000000059604645
80,0.36800000071525574,0.3959999978542328
81,0.36800000071525574,0.40799999237060547
82,0.3240000009536743,0.41600000858306885
83,0.3720000088214874,0.41999998688697815
84,0.37599998712539673,0.40799999237060547
85,0.36399999260902405,0.3880000114440918
86,0.3799999952316284,0.40799999237060547
87,0.335999995470047,0.4399999976158142
88,0.36399999260902405,0.3919999897480011
89,0.335999995470047,0.41200000047683716
90,0.37599998712539673,0.41999998688697815
91,0.3799999952316284,0.40400001406669617
92,0.36399999260902405,0.4440000057220459
93,0.35199999809265137,0.4440000057220459
94,0.35199999809265137,0.40799999237060547
