round,train_acc,eval_acc_clean
1,0.09600000083446503,0.13199999928474426
2,0.15199999511241913,0.14800000190734863
3,0.13199999928474426,0.14000000059604645
4,0.09200000017881393,0.14800000190734863
5,0.11599999666213989,0.19599999487400055
6,0.14800000190734863,0.1599999964237213
7,0.14399999380111694,0.20000000298023224
8,0.13199999928474426,0.2759999930858612
9,0.18799999356269836,0.18799999356269836
10,0.13600000739097595,0.2680000066757202
11,0.18799999356269836,0.30799999833106995
12,0.1599999964237213,0.20399999618530273
13,0.1599999964237213,0.18400000035762787
14,0.164000004529953,0.23199999332427979
15,0.17599999904632568,0.20800000429153442
16,0.15600000321865082,0.21199999749660492
17,0.18799999356269836,0.24799999594688416
18,0.20800000429153442,0.20399999618530273
19,0.14399999380111694,0.24799999594688416
20,0.17599999904632568,0.23600000143051147
21,0.2160000056028366,0.30000001192092896
22,0.21199999749660492,0.2879999876022339
23,0.24799999594688416,0.30399999022483826
24,0.24400000274181366,0.25200000405311584
25,0.19599999487400055,0.2919999957084656
26,0.2639999985694885,0.29600000381469727
27,0.2160000056028366,0.25999999046325684
28,0.2280000001192093,0.3240000009536743
29,0.24799999594688416,0.25200000405311584
30,0.20000000298023224,0.31200000643730164
31,0.21199999749660492,0.25600001215934753
32,0.23199999332427979,0.29600000381469727
33,0.23600000143051147,0.29600000381469727
34,0.25600001215934753,0.2680000066757202
35,0.21199999749660492,0.31200000643730164
36,0.2280000001192093,0.3160000145435333
37,0.25200000405311584,0.30399999022483826
38,0.25600001215934753,0.31200000643730164
39,0.24799999594688416,0.30399999022483826
40,0.2680000066757202,0.3440000116825104
41,0.2240000069141388,0.2879999876022339
42,0.2800000011920929,0.3160000145435333
43,0.2800000011920929,0.3199999928474426
44,0.2840000092983246,0.29600000381469727
45,0.2759999930858612,0.3400000035762787
46,0.24400000274181366,0.3199999928474426
47,0.2720000147819519,0.3199999928474426
48,0.25200000405311584,0.328000009059906
49,0.24799999594688416,0.30799999833106995
50,0.2919999957084656,0.36000001430511475
51,0.2720000147819519,0.36399999260902405
52,0.25999999046325684,0.3400000035762787
53,0.2639999985694885,0.35600000619888306
54,0.2639999985694885,0.3479999899864197
55,0.25200000405311584,0.35600000619888306
56,0.30799999833106995,0.31200000643730164
57,0.24799999594688416,0.3479999899864197
58,0.2759999930858612,0.3720000088214874
59,0.2759999930858612,0.36000001430511475
60,0.2840000092983246,0.3720000088214874
61,0.2840000092983246,0.36399999260902405
62,0.2240000069141388,0.35199999809265137
63,0.25999999046325684,0.3400000035762787
64,0.2680000066757202,0.35600000619888306
