round,num_benign,num_malicious,acc_benign,acc_all
1,3,0,0.12800000607967377,0.12800000607967377
2,3,0,0.11800000071525574,0.11800000071525574
3,3,0,0.12399999797344208,0.12399999797344208
4,3,0,0.13099999725818634,0.13099999725818634
5,3,0,0.1599999964237213,0.1599999964237213
6,3,0,0.13600000739097595,0.13600000739097595
7,3,0,0.1889999955892563,0.1889999955892563
8,3,0,0.1550000011920929,0.1550000011920929
9,3,0,0.1679999977350235,0.1679999977350235
10,3,0,0.16899999976158142,0.16899999976158142
11,3,0,0.14300000667572021,0.14300000667572021
12,3,0,0.17299999296665192,0.17299999296665192
13,3,0,0.14100000262260437,0.14100000262260437
14,3,0,0.16300000250339508,0.16300000250339508
15,3,0,0.15399999916553497,0.15399999916553497
16,3,0,0.14800000190734863,0.14800000190734863
17,3,0,0.1599999964237213,0.1599999964237213
18,3,0,0.15600000321865082,0.15600000321865082
19,3,0,0.1679999977350235,0.1679999977350235
20,3,0,0.1599999964237213,0.1599999964237213
21,3,0,0.15700000524520874,0.15700000524520874
22,3,0,0.17399999499320984,0.17399999499320984
23,3,0,0.1720000058412552,0.1720000058412552
24,3,0,0.16699999570846558,0.16699999570846558
25,3,0,0.16300000250339508,0.16300000250339508
26,3,0,0.16699999570846558,0.16699999570846558
27,3,0,0.17000000178813934,0.17000000178813934
28,3,0,0.16599999368190765,0.16599999368190765
29,3,0,0.16899999976158142,0.16899999976158142
30,3,0,0.1509999930858612,0.1509999930858612
31,3,0,0.17299999296665192,0.17299999296665192
32,3,0,0.17000000178813934,0.17000000178813934
33,3,0,0.17599999904632568,0.17599999904632568
34,3,0,0.17299999296665192,0.17299999296665192
35,3,0,0.17000000178813934,0.17000000178813934
36,3,0,0.18299999833106995,0.18299999833106995
37,3,0,0.17499999701976776,0.17499999701976776
38,3,0,0.16300000250339508,0.16300000250339508
39,3,0,0.18000000715255737,0.18000000715255737
40,3,0,0.1550000011920929,0.1550000011920929
41,3,0,0.17599999904632568,0.17599999904632568
42,3,0,0.1809999942779541,0.1809999942779541
43,3,0,0.164000004529953,0.164000004529953
44,3,0,0.19099999964237213,0.19099999964237213
45,3,0,0.18400000035762787,0.18400000035762787
46,3,0,0.18199999630451202,0.18199999630451202
47,3,0,0.18400000035762787,0.18400000035762787
48,3,0,0.17499999701976776,0.17499999701976776
49,3,0,0.17000000178813934,0.17000000178813934
50,3,0,0.18000000715255737,0.18000000715255737
51,3,0,0.1720000058412552,0.1720000058412552
52,3,0,0.17499999701976776,0.17499999701976776
53,3,0,0.18799999356269836,0.18799999356269836
54,3,0,0.17800000309944153,0.17800000309944153
55,3,0,0.1809999942779541,0.1809999942779541
56,3,0,0.17599999904632568,0.17599999904632568
57,3,0,0.17299999296665192,0.17299999296665192
58,3,0,0.17599999904632568,0.17599999904632568
59,3,0,0.1899999976158142,0.1899999976158142
60,3,0,0.18199999630451202,0.18199999630451202
61,3,0,0.18299999833106995,0.18299999833106995
62,3,0,0.20200000703334808,0.20200000703334808
63,3,0,0.1809999942779541,0.1809999942779541
64,3,0,0.1899999976158142,0.1899999976158142
65,3,0,0.19699999690055847,0.19699999690055847
66,3,0,0.1979999989271164,0.1979999989271164
67,3,0,0.2029999941587448,0.2029999941587448
68,3,0,0.19200000166893005,0.19200000166893005
69,3,0,0.18700000643730164,0.18700000643730164
70,3,0,0.19499999284744263,0.19499999284744263
71,3,0,0.20399999618530273,0.20399999618530273
72,3,0,0.17499999701976776,0.17499999701976776
73,3,0,0.1850000023841858,0.1850000023841858
74,3,0,0.19699999690055847,0.19699999690055847
75,3,0,0.20399999618530273,0.20399999618530273
76,3,0,0.19699999690055847,0.19699999690055847
77,3,0,0.19699999690055847,0.19699999690055847
78,3,0,0.18799999356269836,0.18799999356269836
79,3,0,0.1889999955892563,0.1889999955892563
80,3,0,0.19599999487400055,0.19599999487400055
81,3,0,0.20600000023841858,0.20600000023841858
82,3,0,0.1899999976158142,0.1899999976158142
83,3,0,0.2029999941587448,0.2029999941587448
84,3,0,0.19900000095367432,0.19900000095367432
85,3,0,0.18400000035762787,0.18400000035762787
86,3,0,0.1850000023841858,0.1850000023841858
87,3,0,0.20499999821186066,0.20499999821186066
88,3,0,0.19499999284744263,0.19499999284744263
89,3,0,0.20999999344348907,0.20999999344348907
90,3,0,0.19499999284744263,0.19499999284744263
91,3,0,0.20499999821186066,0.20499999821186066
92,3,0,0.19300000369548798,0.19300000369548798
93,3,0,0.19699999690055847,0.19699999690055847
94,3,0,0.20200000703334808,0.20200000703334808
95,3,0,0.20100000500679016,0.20100000500679016
96,3,0,0.20000000298023224,0.20000000298023224
97,3,0,0.20600000023841858,0.20600000023841858
98,3,0,0.19699999690055847,0.19699999690055847
99,3,0,0.17900000512599945,0.17900000512599945
100,3,0,0.2070000022649765,0.2070000022649765
101,3,0,0.1889999955892563,0.1889999955892563
102,3,0,0.20000000298023224,0.20000000298023224
103,3,0,0.20600000023841858,0.20600000023841858
104,3,0,0.1770000010728836,0.1770000010728836
105,3,0,0.19099999964237213,0.19099999964237213
106,3,0,0.20000000298023224,0.20000000298023224
107,3,0,0.19099999964237213,0.19099999964237213
108,3,0,0.19599999487400055,0.19599999487400055
109,3,0,0.2070000022649765,0.2070000022649765
110,3,0,0.20200000703334808,0.20200000703334808
111,3,0,0.20100000500679016,0.20100000500679016
112,3,0,0.19699999690055847,0.19699999690055847
