round,agent_id,avg_distance,label
31,benign_2,3.41287424049314,benign
31,benign_3,3.4174031346983083,benign
31,malicious_1,9.187138288491115,isolated
32,benign_1,3.4812718875426643,benign
32,benign_2,3.4738920913525306,benign
32,benign_3,3.4810268635071604,benign
32,malicious_1,9.350646173088965,isolated
33,benign_1,3.539866947177023,benign
33,benign_2,3.537244494104384,benign
33,benign_3,3.545572228324344,benign
33,malicious_1,9.574268164951325,isolated
34,benign_1,3.6084733097348356,benign
34,benign_2,3.6142561498710237,benign
34,benign_3,3.6185341672729585,benign
34,malicious_1,9.740981274678495,isolated
35,benign_1,3.6650768555840814,benign
35,benign_2,3.6649997007507444,benign
35,benign_3,3.681074228105159,benign
35,malicious_1,9.92639541534414,isolated
36,benign_1,3.7373538771933923,benign
36,benign_2,3.7408236137522395,benign
36,benign_3,3.7391819519155978,benign
36,malicious_1,10.147602978229843,isolated
37,benign_1,3.80928166867004,benign
37,benign_2,3.798405140102521,benign
37,benign_3,3.808847292132876,benign
37,malicious_1,10.32643852659499,isolated
38,benign_1,3.861534002185545,benign
38,benign_2,3.8644122301540818,benign
38,benign_3,3.861321375070619,benign
38,malicious_1,10.508183214937752,isolated
39,benign_1,3.9161187522363936,benign
39,benign_2,3.913947595367162,benign
39,benign_3,3.91455732003231,benign
39,malicious_1,10.70225981786699,isolated
40,benign_1,3.9715567352848216,benign
40,benign_2,3.979480589452604,benign
40,benign_3,3.980445143984225,benign
40,malicious_1,10.867437429233432,isolated
41,benign_1,4.0430244678665765,benign
41,benign_2,4.044833233287901,benign
41,benign_3,4.050499518691947,benign
41,malicious_1,11.045101237934801,isolated
42,benign_1,4.086393884714896,benign
42,benign_2,4.095856115269432,benign
42,benign_3,4.091212496100202,benign
42,malicious_1,11.219443708391552,isolated
43,benign_1,4.154227655036274,benign
43,benign_2,4.151930224156918,benign
43,benign_3,4.150007724536155,benign
43,malicious_1,11.404834141949927,isolated
44,benign_1,4.213162075717384,benign
44,benign_2,4.211635526559205,benign
44,benign_3,4.216675953947463,benign
44,malicious_1,11.577523444041342,isolated
45,benign_1,4.253342623496429,benign
45,benign_2,4.254269927981514,benign
45,benign_3,4.247666398129379,benign
45,malicious_1,11.732233927669853,isolated
46,benign_1,4.294436335517613,benign
46,benign_2,4.30098214866062,benign
46,benign_3,4.30398773338537,benign
46,malicious_1,11.867419162897141,isolated
47,benign_1,4.366725502222827,benign
47,benign_2,4.3628875312822455,benign
47,benign_3,4.36989572051645,benign
47,malicious_1,12.020451087399268,isolated
48,benign_1,4.399965452154835,benign
48,benign_2,4.40066992876725,benign
48,benign_3,4.401135366977963,benign
48,malicious_1,12.172038428143404,isolated
